epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.427,0.70169,5.86798,1.15598,0.19386,0.47568,0.07975,0.07602,0.39996,4.61171,0.95344,0.00010878,0.00010878,0.00010878
2,486.471,0.45816,3.29525,0.9791,0.03782,0.63063,0.08382,0.07844,0.46598,2.89112,1.02351,0.000217604,0.000217604,0.000217604
3,508.541,0.44791,2.91115,0.9495,0.06617,0.57423,0.0924,0.08799,0.40348,2.75043,0.92782,0.000324231,0.000324231,0.000324231
4,530.365,0.48308,2.78828,0.98364,0.03093,1,0.10305,0.09496,0.44595,2.54505,0.97027,0.00032311,0.00032311,0.00032311
5,553.601,0.46043,2.68685,0.96969,0.03928,1,0.08135,0.07749,0.34545,2.39461,0.89739,0.000319813,0.000319813,0.000319813
6,574.409,0.4464,2.6183,0.94868,0.03673,1,0.08493,0.07954,0.3947,2.51911,0.92253,0.000316517,0.000316517,0.000316517
7,595.058,0.44657,2.55819,0.95885,0.03377,0.99429,0.0701,0.06753,0.37247,2.54882,0.89815,0.00031322,0.00031322,0.00031322
8,616.352,0.42244,2.5444,0.94348,0.03084,1,0.10616,0.10142,0.41449,2.43949,0.96409,0.000309923,0.000309923,0.000309923
9,639.058,0.41621,2.51638,0.94901,0.03026,1,0.07531,0.07081,0.37101,2.40929,0.90408,0.000306626,0.000306626,0.000306626
10,659.844,0.40596,2.50204,0.93821,0.03718,1,0.07644,0.07285,0.33535,2.36111,0.87972,0.00030333,0.00030333,0.00030333
11,680.043,0.39855,2.46092,0.92742,0.03236,1,0.08246,0.07921,0.33244,2.4159,0.86502,0.000300033,0.000300033,0.000300033
12,701.642,0.3968,2.43577,0.92922,0.03624,1,0.07209,0.06845,0.34532,2.35317,0.89353,0.000296736,0.000296736,0.000296736
13,721.726,0.38718,2.42771,0.92382,0.0389,1,0.10649,0.10333,0.3368,2.39309,0.89103,0.00029344,0.00029344,0.00029344
14,743.882,0.37187,2.4189,0.91403,0.03741,1,0.07798,0.07525,0.3348,2.35339,0.8725,0.000290143,0.000290143,0.000290143
15,764.083,0.37549,2.40608,0.92056,0.03787,1,0.08217,0.07991,0.33248,2.27924,0.88112,0.000286846,0.000286846,0.000286846
16,784.543,0.36147,2.39284,0.90947,0.03704,1,0.06474,0.06267,0.32035,2.33626,0.8681,0.00028355,0.00028355,0.00028355
17,805.885,0.35825,2.38202,0.90685,0.03573,0.992,0.08569,0.08201,0.38237,2.32944,0.91966,0.000280253,0.000280253,0.000280253
18,826.941,0.3555,2.37421,0.90773,0.03641,1,0.0735,0.06994,0.36106,2.36139,0.89147,0.000276956,0.000276956,0.000276956
19,847.99,0.36623,2.35401,0.90737,0.03827,1,0.09531,0.09042,0.35331,2.31537,0.89728,0.000273659,0.000273659,0.000273659
20,868.455,0.34336,2.35746,0.90102,0.03872,1,0.07547,0.07133,0.33707,2.30421,0.85995,0.000270363,0.000270363,0.000270363
21,889.808,0.34944,2.36004,0.90457,0.03817,1,0.07923,0.07477,0.3341,2.32839,0.88495,0.000267066,0.000267066,0.000267066
22,911.641,0.33494,2.32503,0.8921,0.03597,1,0.0729,0.06903,0.31377,2.29718,0.85519,0.000263769,0.000263769,0.000263769
23,933.436,0.33309,2.33698,0.90518,0.03726,1,0.08615,0.08379,0.31658,2.29386,0.84874,0.000260473,0.000260473,0.000260473
24,955.404,0.3415,2.33981,0.90263,0.03791,1,0.0868,0.08266,0.35575,2.28651,0.88325,0.000257176,0.000257176,0.000257176
25,976.581,0.33054,2.32621,0.89724,0.03995,1,0.10302,0.10021,0.32607,2.29043,0.86774,0.000253879,0.000253879,0.000253879
26,998.918,0.31618,2.31022,0.88403,0.03987,1,0.08389,0.07892,0.30117,2.28879,0.84397,0.000250583,0.000250583,0.000250583
27,1019.55,0.31824,2.31329,0.89306,0.03971,1,0.09234,0.08722,0.30022,2.24622,0.84654,0.000247286,0.000247286,0.000247286
28,1041.02,0.30189,2.2971,0.88587,0.03931,1,0.08006,0.07562,0.3277,2.2684,0.85789,0.000243989,0.000243989,0.000243989
29,1062.18,0.30661,2.3085,0.88095,0.03833,1,0.08401,0.08085,0.30069,2.32931,0.84565,0.000240692,0.000240692,0.000240692
30,1083.8,0.31607,2.31251,0.88034,0.03735,1,0.09418,0.09216,0.30527,2.2707,0.8369,0.000237396,0.000237396,0.000237396
31,1105.01,0.31498,2.29452,0.88279,0.03969,1,0.0747,0.07138,0.30027,2.27839,0.83316,0.000234099,0.000234099,0.000234099
32,1126.77,0.30319,2.2911,0.8823,0.03988,1,0.08764,0.08521,0.31044,2.28613,0.83427,0.000230802,0.000230802,0.000230802
33,1147.89,0.30466,2.28103,0.87791,0.03968,1,0.09473,0.09284,0.31386,2.25147,0.84044,0.000227506,0.000227506,0.000227506
34,1169.58,0.29599,2.27705,0.8767,0.03976,1,0.08362,0.08123,0.31166,2.28817,0.83974,0.000224209,0.000224209,0.000224209
35,1191.25,0.29522,2.28983,0.87828,0.03856,1,0.09106,0.08689,0.31292,2.24292,0.85381,0.000220912,0.000220912,0.000220912
36,1213.87,0.28369,2.28495,0.87609,0.0386,1,0.09343,0.09009,0.28947,2.24612,0.83131,0.000217616,0.000217616,0.000217616
37,1234.39,0.2838,2.28758,0.87458,0.03976,1,0.10105,0.09596,0.29147,2.25962,0.82518,0.000214319,0.000214319,0.000214319
38,1257.22,0.2805,2.27789,0.89103,0.03985,1,0.08168,0.0771,0.28304,2.22321,0.81651,0.000211022,0.000211022,0.000211022
39,1277.77,0.28566,2.27999,0.87211,0.03957,1,0.07959,0.07519,0.31191,2.24768,0.84324,0.000207725,0.000207725,0.000207725
40,1300.5,0.28856,2.26722,0.87369,0.0394,1,0.08454,0.08116,0.296,2.25509,0.84119,0.000204429,0.000204429,0.000204429
